guid,listing_id,url,title,price_original,currency,price_kes,price_tier,price_tier_encoded,price_delta,relative_price_ratio,category,category_encoded,category_popularity,subcategory,subcategory_encoded,location,location_type,location_type_encoded,domain,domain_encoded,domain_popularity,description,seller_name,image_count,has_images,image_rich,title_length,title_word_count,has_description,description_length,timestamp,crawl_source,crawl_source_encoded,first_seen,days_listed,days_since_posting,freshness_score,is_weekend,hour_of_day,day_of_week,month,quarter,season,season_encoded,currency_encoded
-mhoHyx6RHKT2OZM6rQnBow8,JIJI-100D9A087712,https://jiji.co.ke/electronics-samsung-speaker-system---bluetooth-5.0-mhoHyx6RHKT2OZM6rQnBow8,Samsung Speaker System - Bluetooth 5.0,34380.0,KES,34380.0,economy,1,0.0,1.98,Electronics,1,22.0,TVs,35,Roysambu,other_area,2,jiji.co.ke,0,1.0,Well maintained tvs. Reason for selling: upgrading. All documents available.,Kenyan Seller,3,1,0,38,6,1,76,2022-12-24 04:00:08,common_crawl,0,2022-12-24 04:00:08,0,721,0.03994673768308921,1,4,5,12,4,Summer,2,0
-mwWKaqhAhdBwKCnMT4OsNb9,JIJI-517C9FC86F7E,https://jiji.co.ke/home & garden-dress---good-mwWKaqhAhdBwKCnMT4OsNb9,Dress - Good,176690.0,KES,176690.0,mid_range,3,0.0,19.46,Home & Garden,3,10.0,Garden,19,Mombasa,major_city,1,jiji.co.ke,0,1.0,Top quality item at fair price. No time wasters please. View in Mombasa.,Nairobi Deals,2,1,0,12,3,1,72,2024-07-17 14:31:02,wayback,2,2024-07-17 14:31:02,0,149,0.16759776536312848,0,14,2,7,3,Winter,3,0
-mtp7QDffAUxid7IPz26A4dr,JIJI-D172B4871048,"https://jiji.co.za/electronics-oppo-tv-75""-smart---4k-display-mtp7QDffAUxid7IPz26A4dr","Oppo TV 75"" Smart - 4K Display",88820.0,ZAR,692796.0,premium,4,64706.09193541298,39.88,Electronics,1,22.0,Mobile Phones,29,Major City,other_area,2,jiji.co.za,3,0.65,Brand new condition. Bought recently but no longer needed. First to see will buy.,Nairobi Deals,7,1,1,30,7,1,81,2022-10-18 23:03:11,wayback,2,2022-10-18 23:03:11,0,787,0.03671970624235006,0,23,1,10,4,Spring,1,4
-mAvwSWJfdjMPqPEBqUhArQE,JIJI-09B15C533FFF,https://jiji.com.ng/fashion-sunglasses-nissan-uv-protection-mAvwSWJfdjMPqPEBqUhArQE,Sunglasses Nissan UV Protection,30450.0,NGN,2588.25,budget,0,0.0,0.64,Fashion,2,12.0,Clothing,11,Major City,other_area,2,jiji.com.ng,4,0.85,Top quality item at fair price. No time wasters please. View in Major City.,Direct Owner,5,1,1,31,4,1,75,2022-02-08 16:44:20,hybrid,1,2022-02-08 16:44:20,0,1039,0.02806361085126286,0,16,1,2,1,Summer,2,1
-mAzNrz7k6CQwBgBye1UnWeN,JIJI-85357A0712E8,https://jiji.co.tz/property-prime-land-65-sqm---juja---title-deed-mAzNrz7k6CQwBgBye1UnWeN,Prime Land 65 sqm - Juja - Title Deed,14954550.0,TZS,792591.15,premium,4,0.0,0.11,Property,5,18.0,Apartments,1,Major City,other_area,2,jiji.co.tz,1,0.35,Price negotiable. Call or WhatsApp for more details. Delivery available within Major City.,Nakuru Properties,3,1,0,37,9,1,90,2023-09-13 10:00:02,wayback,2,2023-09-13 10:00:02,0,458,0.06147540983606558,0,10,2,9,3,Spring,1,2
-mCcwrN8fKxJ7Tc4JlLF7BYZ,JIJI-9B552709235A,https://jiji.co.za/animals-jacket---fair-mCcwrN8fKxJ7Tc4JlLF7BYZ,Jacket - Fair,49430.0,ZAR,385554.0,mid_range,3,0.0,30.02,Animals,0,2.0,Dogs,14,Major City,other_area,2,jiji.co.za,3,0.65,Urgent sale! Moving out of country. Priced for quick sale. Slightly negotiable.,Nakuru Properties,3,1,0,13,3,1,79,2022-06-16 21:13:00,hybrid,1,2022-06-16 21:13:00,0,911,0.031880977683315624,0,21,3,6,2,Winter,3,4
-mRyK6txXYPZTQGOAwwln6Eo,JIJI-12B3DC8B4488,https://jiji.co.tz/vehicles-ford-elite-pickup---workhorse-mRyK6txXYPZTQGOAwwln6Eo,Ford Elite Pickup - Workhorse,2901370.0,TZS,153772.61,mid_range,3,0.0,0.43,Vehicles,7,25.0,Cars,8,Major City,other_area,2,jiji.co.tz,1,0.35,Top quality item at fair price. No time wasters please. View in Major City.,Kisumu Motors,5,1,1,29,5,1,75,2023-09-26 17:04:34,hybrid,1,2023-09-26 17:04:34,0,444,0.06329113924050632,0,17,1,9,3,Spring,1,2
-m69CrxG7YXipN2Ig00rVq4j,JIJI-85580C32B8C4,https://jiji.co.ug/electronics-tecno-watch-64gb---fair-m69CrxG7YXipN2Ig00rVq4j,Tecno Watch 64GB - Fair,42370.0,UGX,3304.86,budget,0,0.0,0.19,Electronics,1,22.0,Laptops,26,Major City,other_area,2,jiji.co.ug,2,0.25,Well maintained laptops. Reason for selling: upgrading. All documents available.,Direct Owner,2,1,0,23,5,1,80,2022-06-12 00:41:30,hybrid,1,2022-06-12 00:41:30,0,916,0.03171247357293869,1,0,6,6,2,Winter,3,3
-m6LAWohoNMdZEHNJSsavJlP,JIJI-05E43B0B909B,https://jiji.co.ke/property-holiday-home-3br---beach-access-m6LAWohoNMdZEHNJSsavJlP,Holiday Home 3BR - Beach Access,63141150.0,KES,63141150.0,luxury,2,0.0,8.76,Property,5,18.0,Land,25,Kisumu,major_city,1,jiji.co.ke,0,1.0,Well maintained land. Reason for selling: upgrading. All documents available.,Amazon Export,3,1,0,31,6,1,77,2024-08-09 17:25:22,common_crawl,0,2024-08-09 17:25:22,0,126,0.1923076923076923,0,17,4,8,3,Winter,3,0
-mS6cmX2ttyYDcOr1cOqXByB,JIJI-C4077B94BCCE,https://jiji.com.ng/services-pants---mint-mS6cmX2ttyYDcOr1cOqXByB,Pants - Mint,14130.0,NGN,1201.05,budget,0,0.0,0.45,Services,6,3.0,Beauty,4,Major City,other_area,2,jiji.com.ng,4,0.85,Urgent sale! Moving out of country. Priced for quick sale. Slightly negotiable.,Trust Dealer Kenya,3,1,0,12,3,1,79,2022-03-28 12:50:10,hybrid,1,2022-03-28 12:50:10,0,992,0.029354207436399216,0,12,0,3,1,Autumn,0,1
-m86eNwXQ7iLWceWwxJLQ6xV,JIJI-4792F7416A84,https://jiji.co.tz/property-studio-apartment---karen---ready-m86eNwXQ7iLWceWwxJLQ6xV,Studio Apartment - Karen - Ready,37020040.0,TZS,1962062.12,premium,4,263368.7957342179,0.27,Property,5,18.0,Office,31,Major City,other_area,2,jiji.co.tz,1,0.35,Urgent sale! Moving out of country. Priced for quick sale. Slightly negotiable.,Eldoret Electronics,3,1,0,32,6,1,79,2023-12-13 02:21:51,common_crawl,0,2023-12-13 02:21:51,0,367,0.07556675062972293,0,2,2,12,4,Summer,2,2
-mS5NXFhmiXbIwXILft9SGVZ,JIJI-BA11FD378B59,https://jiji.co.ke/vehicles-mazda-elite---fuel-efficient---excellent-mS5NXFhmiXbIwXILft9SGVZ,Mazda Elite - Fuel Efficient - Excellent,1640630.0,KES,1640630.0,premium,4,0.0,4.63,Vehicles,7,25.0,Motorcycles,30,Juja,other_area,2,jiji.co.ke,0,1.0,Price negotiable. Call or WhatsApp for more details. Delivery available within Juja.,Premium Items,2,1,0,40,7,1,84,2022-09-14 22:45:22,hybrid,1,2022-09-14 22:45:22,0,821,0.03525264394829612,0,22,2,9,3,Spring,1,0
-mNKKkM3u5c1f6VqnJMb3HNs,JIJI-E8B30C1A3FA2,https://jiji.co.tz/vehicles-honda-premium-blue---well-maintained-mNKKkM3u5c1f6VqnJMb3HNs,Honda Premium Blue - Well Maintained,8500000.0,TZS,450500.0,mid_range,3,0.0,1.27,Vehicles,7,25.0,Buses,6,Major City,other_area,2,jiji.co.tz,1,0.35,Ready for immediate pickup. Can deliver within Nairobi area. Cash or M-Pesa accepted.,Eldoret Electronics,1,1,0,36,6,1,85,2023-05-23 05:07:45,hybrid,1,2023-05-23 05:07:45,0,571,0.04991680532445923,0,5,1,5,2,Autumn,0,2
-mz73Y5Slj9C2EfyCoKdrL0P,JIJI-F9244D6B0DB3,"https://jiji.co.ke/electronics-samsung-tv-75""-smart---4k-display-mz73Y5Slj9C2EfyCoKdrL0P","Samsung TV 75"" Smart - 4K Display",105260.0,KES,105260.0,mid_range,3,8065.636296139486,6.06,Electronics,1,22.0,Mobile Phones,29,Ruiru,other_area,2,jiji.co.ke,0,1.0,Well maintained mobile phones. Reason for selling: upgrading. All documents available.,Amazon Export,5,1,1,33,7,1,86,2023-11-26 20:18:36,common_crawl,0,2023-11-26 20:18:36,0,383,0.07263922518159806,1,20,6,11,4,Spring,1,0
-mLyccSXGj3i5tyM0KFFEIDb,JIJI-CCCC0D9AFF7E,https://jiji.co.ug/electronics-tecno-phone-512gb---good-mLyccSXGj3i5tyM0KFFEIDb,Tecno Phone 512GB - Good,45650.0,UGX,3560.7,budget,0,0.0,0.2,Electronics,1,22.0,Mobile Phones,29,Major City,other_area,2,jiji.co.ug,2,0.25,Imported item. Still under warranty. Excellent investment opportunity.,Best Price Kenya,3,1,0,24,5,1,70,2023-02-22 14:56:28,hybrid,1,2023-02-22 14:56:28,0,660,0.043478260869565216,0,14,2,2,1,Summer,2,3
-mTRGI9Dx7CHHP1QXqE7rs68,JIJI-DD53A3D9EA29,https://jiji.co.ug/home & garden-jacket---good-mTRGI9Dx7CHHP1QXqE7rs68,Jacket - Good,105630.0,UGX,8239.14,economy,1,0.0,0.91,Home & Garden,3,10.0,Kitchen,24,Major City,other_area,2,jiji.co.ug,2,0.25,Brand new condition. Bought recently but no longer needed. First to see will buy.,Kisumu Motors,4,1,1,13,3,1,81,2022-08-12 22:24:58,common_crawl,0,2022-08-12 22:24:58,0,854,0.03393665158371041,0,22,4,8,3,Winter,3,3
-mPGNdzSgVaI5z52Dm7tO4fJ,JIJI-1F15C3C71F74,https://jiji.com.ng/property-prime-land-75-sqm---juja---title-deed-mPGNdzSgVaI5z52Dm7tO4fJ,Prime Land 75 sqm - Juja - Title Deed,17604230.0,NGN,1496359.55,premium,4,0.0,0.21,Property,5,18.0,Houses,21,Major City,other_area,2,jiji.com.ng,4,0.85,Well maintained houses. Reason for selling: upgrading. All documents available.,Kilimall Vendor,3,1,0,37,9,1,79,2022-11-29 16:42:30,common_crawl,0,2022-11-29 16:42:30,0,745,0.03870967741935484,0,16,1,11,4,Spring,1,1
-mTXJUk13ZFfPliupqoU7sSa,JIJI-655DAF8FD921,https://jiji.co.ke/fashion-mitsubishi-shoes-unisex---original-mTXJUk13ZFfPliupqoU7sSa,Mitsubishi Shoes Unisex - Original,34100.0,KES,34100.0,economy,1,0.0,8.39,Fashion,2,12.0,Shoes,33,Meru,other_area,2,jiji.co.ke,0,1.0,Price negotiable. Call or WhatsApp for more details. Delivery available within Meru.,Nakuru Properties,3,1,0,34,5,1,84,2024-12-12 16:15:56,hybrid,1,2024-12-12 16:15:56,0,1,0.9677419354838709,0,16,3,12,4,Summer,2,0
-mgZ3mHk0BQSE3BdizIIPtbp,JIJI-39BADCA6A6AE,https://jiji.co.za/vehicles-toyota-standard-2020---like-new-mgZ3mHk0BQSE3BdizIIPtbp,Toyota Standard 2020 - Like New,553610.0,ZAR,4318158.0,premium,4,103305.65844699203,12.2,Vehicles,7,25.0,Trucks,39,Major City,other_area,2,jiji.co.za,3,0.65,Genuine vehicles item in excellent condition. Located in Major City. Serious buyers only.,Kisumu Motors,1,1,0,31,6,1,89,2024-03-15 19:15:16,common_crawl,0,2024-03-15 19:15:16,0,273,0.09900990099009901,0,19,4,3,1,Autumn,0,4
-m8CSAxoCjl2VbOM63oeKBP2,JIJI-057E2908EFB7,https://jiji.co.ug/vehicles-mitsubishi-elite-2019---mombasa-road-registered-m8CSAxoCjl2VbOM63oeKBP2,Mitsubishi Elite 2019 - Mombasa Road Registered,917500.0,UGX,71565.0,mid_range,3,0.0,0.2,Vehicles,7,25.0,Cars,8,Major City,other_area,2,jiji.co.ug,2,0.25,Top quality item at fair price. No time wasters please. View in Major City.,Amazon Export,3,1,0,47,7,1,75,2023-12-07 23:25:20,hybrid,1,2023-12-07 23:25:20,0,372,0.07462686567164178,0,23,3,12,4,Summer,2,3
-mzjxUD0sRX4I8IipmO50fSl,JIJI-4F6D934134E3,https://jiji.co.za/electronics-tecno-laptop-16gb-ram---no-warranty-mzjxUD0sRX4I8IipmO50fSl,Tecno Laptop 16GB RAM - No Warranty,124550.0,ZAR,971490.0,premium,4,0.0,55.93,Electronics,1,22.0,Audio,2,Major City,other_area,2,jiji.co.za,3,0.65,Urgent sale! Moving out of country. Priced for quick sale. Slightly negotiable.,Eldoret Electronics,3,1,0,35,7,1,79,2024-08-12 19:25:46,wayback,2,2024-08-12 19:25:46,0,123,0.19607843137254904,0,19,0,8,3,Winter,3,4
-mFEg8D04wzInjq5JzjuxZEO,JIJI-D00984ECC57F,https://jiji.co.ug/fashion-jewelry-set-cotton---gift-boxed-mFEg8D04wzInjq5JzjuxZEO,Jewelry Set Cotton - Gift Boxed,52090.0,UGX,4063.02,budget,0,206.85823116768324,1.0,Fashion,2,12.0,Accessories,0,Major City,other_area,2,jiji.co.ug,2,0.25,Genuine fashion item in excellent condition. Located in Major City. Serious buyers only.,Trust Dealer Kenya,3,1,0,31,6,1,88,2022-02-02 00:14:26,common_crawl,0,2022-02-02 00:14:26,0,1046,0.027881040892193308,0,0,2,2,1,Summer,2,3
-mGr8bYPX4gfjlGYqyxzJ9oQ,JIJI-C30574066A80,https://jiji.co.ke/home & garden-skirt---fair-mGr8bYPX4gfjlGYqyxzJ9oQ,Skirt - Fair,62740.0,KES,62740.0,mid_range,3,0.0,6.91,Home & Garden,3,10.0,Furniture,18,Roysambu,other_area,2,jiji.co.ke,0,1.0,Well maintained furniture. Reason for selling: upgrading. All documents available.,Best Price Kenya,6,1,1,12,3,1,82,2023-10-07 00:34:12,hybrid,1,2023-10-07 00:34:12,0,434,0.06465517241379311,1,0,5,10,4,Spring,1,0
-mY5sIJ0PHxTXQeUvgoeLMK8,JIJI-1D99797D52B3,https://jiji.co.ug/electronics-xiaomi-camera-pro---professional-grade-mY5sIJ0PHxTXQeUvgoeLMK8,Xiaomi Camera Pro - Professional Grade,97000.0,UGX,7566.0,economy,1,946.0296545848743,0.44,Electronics,1,22.0,TVs,35,Major City,other_area,2,jiji.co.ug,2,0.25,Well maintained tvs. Reason for selling: upgrading. All documents available.,Nairobi Deals,1,1,0,38,6,1,76,2024-01-08 09:49:18,wayback,2,2024-01-08 09:49:18,0,341,0.08086253369272237,0,9,0,1,1,Summer,2,3
-mBIzbvfLuxsyf348JkxisEd,JIJI-32986F0A53CF,https://jiji.co.tz/electronics-tecno-laptop-8gb-ram---no-warranty-mBIzbvfLuxsyf348JkxisEd,Tecno Laptop 8GB RAM - No Warranty,83620.0,TZS,4431.86,budget,0,0.0,0.26,Electronics,1,22.0,Cameras,7,Major City,other_area,2,jiji.co.tz,1,0.35,Urgent sale! Moving out of country. Priced for quick sale. Slightly negotiable.,Nakuru Properties,6,1,1,34,7,1,79,2023-10-06 06:28:03,hybrid,1,2023-10-06 06:28:03,0,435,0.06451612903225806,0,6,4,10,4,Spring,1,2
-mREJpxYyhIKHQI7CRBsQYXz,JIJI-FD688E2138E2,https://jiji.com.ng/property-prime-land-75-sqm---meru---title-deed-mREJpxYyhIKHQI7CRBsQYXz,Prime Land 75 sqm - Meru - Title Deed,14324860.0,NGN,1217613.1,premium,4,0.0,0.17,Property,5,18.0,Land,25,Major City,other_area,2,jiji.com.ng,4,0.85,Brand new condition. Bought recently but no longer needed. First to see will buy.,Kilimall Vendor,2,1,0,37,9,1,81,2022-07-21 09:25:13,wayback,2,2022-07-21 09:25:13,0,877,0.0330760749724366,0,9,3,7,3,Winter,3,1
